date,station,deployment,has_data,data_start,data_end,n_points,n_ideal,true_missing,sp_nominal,dt_FG,dt_true,t_i0_offset_s,n_gaps,gap_total_missing,n_gaps_raw,gap_total_missing_raw,jitter_mean_ms,jitter_std_ms,jitter_maxabs_ms,frac_mean,frac_std,frac_maxabs,jitter_unstable,max_abs_epsilon,figure_generated
2014-08-08,RS03AXBS-MJ03A-12-VEL3DB301,0,False,,,0,0,,,,,,,,,,,,,,,,,,False
2014-08-09,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-10,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-11,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-12,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-13,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-14,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-15,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-16,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-17,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-18,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-19,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-20,RS03AXBS-MJ03A-12-VEL3DB301,1,False,,,0,0,,1.0,,,,,,,,,,,,,,,,False
2014-08-21,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-21T23:14:55Z,2014-08-21T23:59:59Z,2045,2705,660,1.0,1.0,1.0,0.0,538,660,538,660,0.0,0.0,0.0,2.598691e-13,1.907742e-13,4.547474e-13,False,0.0,True
2014-08-22,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-22T00:00:00Z,2014-08-22T23:59:59Z,65390,86400,21010,1.0,1.0,1.0,-0.0,17605,21010,17605,21010,-0.0,0.0,0.0,-4.525945e-12,6.671164e-12,1.455192e-11,False,0.0,True
2014-08-23,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-23T00:00:01Z,2014-08-23T23:59:59Z,66521,86399,19878,1.0,1.0,1.0,-0.0,19878,19878,19878,19878,-0.0,0.0,0.0,-1.843282e-11,1.165983e-11,4.365575e-11,False,0.0,True
2014-08-24,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-24T00:00:01Z,2014-08-24T23:59:58Z,68487,86398,17911,1.0,1.0,1.0,-0.0,17911,17911,17911,17911,-0.0,0.0,0.0,-1.33562e-11,1.342499e-11,4.365575e-11,False,0.0,True
2014-08-25,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-25T00:00:00Z,2014-08-25T23:59:59Z,66663,86400,19737,1.0,1.0,1.0,-0.0,19737,19737,19737,19737,0.0,0.0,0.0,1.010133e-11,2.824002e-12,1.455192e-11,False,0.0,True
2014-08-26,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-26T00:00:01Z,2014-08-26T23:59:59Z,66401,86399,19998,1.0,1.0,1.0,0.0,19998,19998,19998,19998,-0.0,0.0,0.0,-2.250764e-11,6.396146e-12,2.910383e-11,False,0.0,True
2014-08-27,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-27T00:00:00Z,2014-08-27T23:59:59Z,67629,86400,18771,1.0,1.0,1.0,-0.0,18771,18771,18771,18771,0.0,0.0,0.0,1.065584e-12,1.456867e-12,3.637979e-12,False,0.0,True
2014-08-28,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-28T00:00:01Z,2014-08-28T23:59:59Z,66791,86399,19608,1.0,1.0,1.0,0.0,19608,19608,19608,19608,-0.0,0.0,0.0,-5.169222e-12,3.013642e-12,7.275958e-12,False,0.0,True
2014-08-29,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-29T00:00:00Z,2014-08-29T23:59:59Z,67674,86400,18726,1.0,1.0,1.0,-0.0,18726,18726,18726,18726,0.0,0.0,0.0,1.293311e-12,1.672273e-12,3.637979e-12,False,0.0,True
2014-08-30,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-30T00:00:01Z,2014-08-30T23:59:59Z,68211,86399,18188,1.0,1.0,1.0,0.0,18188,18188,18188,18188,-0.0,0.0,0.0,-1.448394e-11,4.272341e-12,2.182787e-11,False,0.0,True
2014-08-31,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-08-31T00:00:00Z,2014-08-31T23:59:59Z,68475,86400,17925,1.0,1.0,1.0,-0.0,17925,17925,17925,17925,0.0,0.0,0.0,2.327888e-11,1.040089e-11,4.365575e-11,False,0.0,True
2014-09-01,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-01T00:00:00Z,2014-09-01T23:59:59Z,66321,86400,20079,1.0,1.0,1.0,0.0,20079,20079,20079,20079,-0.0,0.0,0.0,-1.3175e-11,5.423254e-12,2.182787e-11,False,0.0,True
2014-09-02,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-02T00:00:01Z,2014-09-02T23:59:59Z,66520,86399,19879,1.0,1.0,1.0,-0.0,19879,19879,19879,19879,0.0,0.0,0.0,3.428046e-11,1.633031e-11,5.820766e-11,False,0.0,True
2014-09-03,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-03T00:00:00Z,2014-09-03T23:59:58Z,68656,86399,17743,1.0,1.0,1.0,-0.0,17743,17743,17743,17743,0.0,0.0,0.0,1.5922e-11,9.133491e-12,2.910383e-11,False,0.0,True
2014-09-04,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-04T00:00:00Z,2014-09-04T23:59:59Z,65540,86400,20860,1.0,1.0,1.0,0.0,19023,20860,19023,20860,-0.0,0.0,0.0,-1.020304e-11,4.021525e-12,1.455192e-11,False,0.0,True
2014-09-05,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-05T00:00:00Z,2014-09-05T23:59:59Z,62970,86400,23430,1.0,1.0,1.0,-0.0,18589,23430,18589,23430,-0.0,0.0,0.0,-2.875271e-12,7.028603e-12,1.455192e-11,False,0.0,True
2014-09-06,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-06T00:00:00Z,2014-09-06T23:59:58Z,66475,86399,19924,1.0,1.0,1.0,0.0,19924,19924,19924,19924,-0.0,0.0,0.0,-3.301833e-11,1.632183e-11,5.820766e-11,False,0.0,True
2014-09-07,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-07T00:00:00Z,2014-09-07T23:59:59Z,67745,86400,18655,1.0,1.0,1.0,-0.0,18655,18655,18655,18655,0.0,0.0,0.0,5.244161e-12,3.017186e-12,7.275958e-12,False,0.0,True
2014-09-08,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-08T00:00:01Z,2014-09-08T23:59:59Z,65656,86399,20743,1.0,1.0,1.0,-0.0,17862,20743,17862,20743,0.0,0.0,0.0,2.055316e-11,7.650114e-12,2.910383e-11,False,0.0,True
2014-09-09,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-09T00:00:00Z,2014-09-09T23:59:59Z,58086,86400,28314,1.0,1.0,1.0,-0.0,17716,28314,17716,28314,0.0,0.0,0.0,1.580779e-12,1.798454e-12,3.637979e-12,False,0.0,True
2014-09-10,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-10T00:00:01Z,2014-09-10T23:59:59Z,66879,86399,19520,1.0,1.0,1.0,0.0,19520,19520,19520,19520,-0.0,0.0,0.0,-1.32692e-11,5.382365e-12,2.182787e-11,False,0.0,True
2014-09-11,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-11T00:00:01Z,2014-09-11T21:25:04Z,60694,77104,16410,1.0,1.0,1.0,0.0,16410,16410,16410,16410,-0.0,0.0,0.0,-1.792411e-11,8.590793e-12,2.910383e-11,False,0.0,True
2014-09-12,RS03AXBS-MJ03A-12-VEL3DB301,1,True,2014-09-12T22:49:14Z,2014-09-12T23:59:59Z,4246,4246,0,1.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,7.446106e-13,4.556942e-13,1.818989e-12,False,0.0,False
